dataset_id,full_name,provider,canonical_url,archival_url,license,access_mode,download_date,version,coverage,notes,status
DS-0001,BICC (Bonn International Centre for Conflict Studies),BICC (Bonn International Centre for Conflict Studies),,,see_provider_terms,public_web,2026-03-05,v2.1_indicator_source_registry,1 indicators (v2.1 labels),Derived from v2.1/outputs/B1_indicator_descriptions/indicators_by_source.json,draft
DS-0002,Bayesian Corruption Indicator via QoG,Bayesian Corruption Indicator via QoG,,,see_provider_terms,public_web,2026-03-05,v2.1_indicator_source_registry,1 indicators (v2.1 labels),Derived from v2.1/outputs/B1_indicator_descriptions/indicators_by_source.json,draft
DS-0003,CIRI Human Rights Data,CIRI Human Rights Data,,,see_provider_terms,public_web,2026-03-05,v2.1_indicator_source_registry,4 indicators (v2.1 labels),Derived from v2.1/outputs/B1_indicator_descriptions/indicators_by_source.json,draft
DS-0004,Central Bank Data,Central Bank Data,,,see_provider_terms,public_web,2026-03-05,v2.1_indicator_source_registry,1 indicators (v2.1 labels),Derived from v2.1/outputs/B1_indicator_descriptions/indicators_by_source.json,draft
DS-0005,Children of Soldiers Dataset via QoG,Children of Soldiers Dataset via QoG,,,see_provider_terms,public_web,2026-03-05,v2.1_indicator_source_registry,2 indicators (v2.1 labels),Derived from v2.1/outputs/B1_indicator_descriptions/indicators_by_source.json,draft
DS-0006,Derived,Derived,,,see_provider_terms,public_web,2026-03-05,v2.1_indicator_source_registry,60 indicators (v2.1 labels),Derived from v2.1/outputs/B1_indicator_descriptions/indicators_by_source.json,draft
DS-0007,"Environment, Social and Governance (ESG) Data","Environment, Social and Governance (ESG) Data",,,see_provider_terms,public_web,2026-03-05,v2.1_indicator_source_registry,1 indicators (v2.1 labels),Derived from v2.1/outputs/B1_indicator_descriptions/indicators_by_source.json,draft
DS-0008,FAO Statistics,FAO Statistics,,,see_provider_terms,public_web,2026-03-05,v2.1_indicator_source_registry,3 indicators (v2.1 labels),Derived from v2.1/outputs/B1_indicator_descriptions/indicators_by_source.json,draft
DS-0009,Fraser Institute,Fraser Institute,,,see_provider_terms,public_web,2026-03-05,v2.1_indicator_source_registry,1 indicators (v2.1 labels),Derived from v2.1/outputs/B1_indicator_descriptions/indicators_by_source.json,draft
DS-0010,Gender Statistics,Gender Statistics,,,see_provider_terms,public_web,2026-03-05,v2.1_indicator_source_registry,12 indicators (v2.1 labels),Derived from v2.1/outputs/B1_indicator_descriptions/indicators_by_source.json,draft
DS-0011,Global Economic Monitor,Global Economic Monitor,,,see_provider_terms,public_web,2026-03-05,v2.1_indicator_source_registry,10 indicators (v2.1 labels),Derived from v2.1/outputs/B1_indicator_descriptions/indicators_by_source.json,draft
DS-0012,Global Financial Development,Global Financial Development,,,see_provider_terms,public_web,2026-03-05,v2.1_indicator_source_registry,5 indicators (v2.1 labels),Derived from v2.1/outputs/B1_indicator_descriptions/indicators_by_source.json,draft
